IDTree	Species	DBH	Height	X	Y	BasalArea	Volume	Quadrant
780	Copper beech	15.5	18.2	419340.30	5851605.88	0.019	0.161	4
781	Copper beech	18.1	19.5	419341.64	5851608.65	0.026	0.240	4
782	Copper beech	17.8	19.3	419343.33	5851606.73	0.025	0.225	4
783	Copper beech	19.0	19.8	419344.49	5851606.06	0.028	0.261	4
784	Copper beech	17.5	19.2	419345.29	5851602.37	0.024	0.217	4
785	Copper beech	14.4	17.6	419346.26	5851600.31	0.016	0.135	4
786	Copper beech	20.7	20.5	419340.06	5851601.03	0.034	0.326	4
787	Common pine	46.0	30.0	419340.51	5851599.97	0.166	2.222	4
788	Copper beech	19.4	20.0	419339.68	5851597.57	0.030	0.285	4
789	Copper beech	10.5	14.7	419338.95	5851595.68	0.009	0.057	4
790	Copper beech	7.3	11.1	419340.11	5851600.31	0.004	0.008	4
791	Copper beech	8.5	12.7	419336.90	5851594.83	0.006	0.025	4
792	Copper beech	23.2	21.2	419334.10	5851597.09	0.042	0.430	4
793	Copper beech	10.8	15.0	419332.84	5851596.36	0.009	0.057	4
794	Copper beech	15.6	18.3	419332.10	5851596.09	0.019	0.163	4
795	Common pine	33.4	29.0	419329.99	5851597.34	0.088	1.146	4
796	Copper beech	10.6	14.8	419328.52	5851591.99	0.009	0.059	4
797	Common pine	37.3	29.3	419327.91	5851593.88	0.109	1.439	4
798	Copper beech	7.0	10.7	419326.17	5851592.79	0.004	0.006	4
799	Copper beech	22.7	21.1	419326.46	5851595.53	0.040	0.404	4
800	Common pine	32.6	28.9	419322.41	5851590.46	0.083	1.083	4
801	Common pine	40.6	29.6	419317.75	5851592.94	0.129	1.727	4
802	Red oak	9.6	13.9	419318.44	5851589.06	0.007	0.043	4
803	Common pine	44.9	29.9	419319.22	5851587.75	0.158	2.142	4
804	Common pine	34.0	29.0	419314.72	5851500.86	0.091	1.179	4
805	Common pine	31.1	28.7	419313.63	5851588.84	0.076	0.983	4
806	Sessile oak	9.3	13.6	419309.08	5851588.06	0.007	0.038	4
807	Common pine	40.9	29.6	419307.32	5851588.43	0.131	1.749	4
808	Copper beech	9.7	14.0	419306.46	5851588.82	0.007	0.044	4
809	Common pine	33.8	29.0	419304.91	5851588.76	0.090	1.151	4
810	Copper beech	20.0	20.2	419307.38	5851584.77	0.031	0.289	4
811	Common pine	37.6	29.4	419307.22	5851584.16	0.111	1.459	4
812	Common pine	37.9	29.4	419303.10	5851579.98	0.113	1.478	4
813	Common birch	11.4	15.5	419303.67	5851578.81	0.010	0.069	4
814	Copper beech	19.1	19.9	419302.56	5851575.52	0.029	0.276	4
815	Common birch	12.3	16.2	419303.60	5851574.20	0.012	0.085	4
816	Copper beech	14.6	17.7	419306.62	5851577.14	0.017	0.140	4
817	Copper beech	10.4	14.7	419306.56	5851580.00	0.008	0.055	4
818	Copper beech	21.4	20.7	419309.44	5851581.14	0.036	0.358	4
819	Common pine	35.4	29.2	419310.03	5851580.85	0.098	1.283	4
820	Common pine	39.0	29.5	419314.49	5851570.82	0.119	1.571	4
821	Copper beech	11.2	15.4	419314.54	5851580.50	0.010	0.068	4
822	Copper beech	13.1	16.8	419314.77	5851583.12	0.013	0.108	4
823	Common pine	32.0	28.8	419315.14	5851582.58	0.080	1.022	4
824	Copper beech	22.3	21.0	419316.54	5851578.25	0.039	0.397	4
825	Copper beech	8.7	12.9	419316.56	5851582.28	0.006	0.027	4
826	Copper beech	16.4	18.7	419318.57	5851581.69	0.021	0.188	4
827	Copper beech	11.4	15.5	419319.44	5851582.01	0.010	0.072	4
828	Copper beech	13.2	16.9	419321.07	5851580.05	0.014	0.110	4
829	Common pine	40.1	29.6	419323.49	5851584.45	0.126	1.690	4
830	Copper beech	17.0	19.0	419323.71	5851586.29	0.023	0.197	4
831	Copper beech	9.0	13.2	419324.16	5851586.70	0.006	0.030	4
832	Common pine	50.0	30.2	419326.24	5851586.43	0.196	2.672	4
833	Copper beech	15.2	18.1	419326.58	5851583.65	0.018	0.153	4
834	Copper beech	12.9	16.7	419327.76	5851582.67	0.013	0.099	4
835	Copper beech	12.4	16.3	419328.69	5851582.83	0.012	0.090	4
836	Copper beech	10.5	14.7	419331.35	5851500.84	0.009	0.057	4
837	Common pine	39.3	29.5	419331.21	5851588.26	0.121	1.613	4
838	Copper beech	15.2	18.1	419333.00	5851585.12	0.018	0.153	4
839	Copper beech	8.9	13.1	419333.16	5851584.23	0.006	0.025	4
840	Copper beech	14.7	17.8	419335.22	5851590.15	0.017	0.142	4
841	Common pine	39.4	29.5	419335.68	5851588.62	0.122	1.620	4
842	Copper beech	19.4	20.0	419337.10	5851588.50	0.030	0.285	4
843	Common pine	37.7	29.4	419337.89	5851587.97	0.112	1.465	4
844	Copper beech	13.2	16.9	419337.02	5851591.06	0.014	0.110	4
845	Common pine	34.9	29.1	419337.80	5851592.05	0.096	1.234	4
846	Common pine	35.3	29.2	419341.91	5851590.96	0.098	1.276	4
847	Copper beech	22.5	21.0	419343.89	5851593.53	0.040	0.396	4
848	Copper beech	13.0	16.7	419345.06	5851589.59	0.013	0.100	4
849	Copper beech	10.3	14.6	419346.50	5851588.66	0.008	0.054	4
850	Copper beech	15.9	18.5	419346.90	5851591.83	0.020	0.170	4
851	Common pine	43.0	29.8	419348.53	5851593.06	0.145	1.934	4
852	Copper beech	9.0	13.2	419351.47	5851584.79	0.006	0.030	4
853	Common spruce	21.3	20.4	419349.59	5851585.32	0.036	0.378	4
854	Copper beech	15.5	18.2	419349.95	5851582.46	0.019	0.161	4
855	Common pine	36.7	29.3	419347.48	5851587.30	0.106	1.382	4
856	Copper beech	10.0	14.3	419348.70	5851587.02	0.008	0.047	4
857	Copper beech	12.3	16.2	419345.77	5851585.67	0.012	0.088	4
858	Copper beech	8.7	12.9	419345.74	5851582.78	0.006	0.027	4
859	Copper beech	15.0	18.0	419343.98	5851585.20	0.018	0.144	4
860	Copper beech	16.7	18.9	419342.13	5851581.80	0.022	0.196	4
861	Common pine	38.0	29.4	419340.33	5851584.83	0.113	1.487	4
862	Common pine	48.3	30.1	419340.38	5851580.58	0.183	2.488	4
863	Common spruce	22.4	21.0	419338.29	5851580.41	0.039	0.421	4
864	Copper beech	18.3	19.6	419337.33	5851580.07	0.026	0.246	4
865	Copper beech	9.8	14.1	419332.74	5851581.53	0.008	0.040	4
866	Common pine	46.7	30.0	419332.61	5851580.61	0.171	2.312	4
867	Copper beech	16.8	18.9	419331.25	5851577.96	0.022	0.198	4
868	Common pine	43.2	29.8	419327.25	5851577.61	0.147	1.986	4
869	Copper beech	9.0	13.2	419326.53	5851576.06	0.006	0.030	4
870	Copper beech	16.3	18.7	419323.27	5851500.77	0.021	0.186	4
871	Common pine	32.8	28.9	419320.61	5851576.25	0.084	1.094	4
872	Copper beech	19.8	20.1	419317.79	5851572.91	0.031	0.243	4
873	Common pine	31.0	28.7	419314.70	5851575.25	0.075	0.956	4
874	Copper beech	15.2	18.1	419312.25	5851570.99	0.018	0.153	4
875	Copper beech	17.1	19.0	419312.18	5851571.00	0.023	0.206	4
876	Copper beech	14.7	17.8	419310.98	5851570.22	0.017	0.142	4
877	Common pine	47.7	30.1	419306.68	5851572.13	0.179	2.416	4
878	Copper beech	18.7	19.7	419303.75	5851570.57	0.027	0.257	4
